Taxa	SNV	Name	Analysis4	meanG	seG	meanM	seM	target	Name_lumped	forShape
Bacteroidetes Bacteroides 824b9c5e131ccef5ab3286cfde31640c	824b9c5e131ccef5ab3286cfde31640c	Bacteroidetes Bacteroides	Pos_Stool	0.366811902263889	0.0407499870026257	0.596118404738333	0.0493689623140081	IgM+	Bacteroidetes Bacteroides	IgM+.Pos_Stool
Bacteroidetes Bacteroides 824b9c5e131ccef5ab3286cfde31640c	824b9c5e131ccef5ab3286cfde31640c	Bacteroidetes Bacteroides	Neg_Stool	0.330801754317809	0.0582310883396235	0.467960159847455	0.0528837489384516	IgM+	Bacteroidetes Bacteroides	IgM+.Neg_Stool
Bacteroidetes Bacteroides 836cd5ea357ad392c00a7e48d921be1d	836cd5ea357ad392c00a7e48d921be1d	Bacteroidetes Bacteroides	Pos_Stool	0.364234937434069	0.0640772350441196	0.526195691392492	0.0642675716238134	IgM+	Bacteroidetes Bacteroides	IgM+.Pos_Stool
Bacteroidetes Bacteroides 836cd5ea357ad392c00a7e48d921be1d	836cd5ea357ad392c00a7e48d921be1d	Bacteroidetes Bacteroides	Neg_Stool	0.314441795181498	0.0613438342642233	0.373053731041436	0.0599797551596827	IgM+	Bacteroidetes Bacteroides	IgM+.Neg_Stool
Bacteroidetes Bacteroides 99deb3c5ecb022ec05609ebd1112a557	99deb3c5ecb022ec05609ebd1112a557	Bacteroidetes Bacteroides	Pos_Stool	0.234166949267799	0.0508409716063667	0.335274657882733	0.0575265321668757	IgM+	Bacteroidetes Bacteroides	IgM+.Pos_Stool
Bacteroidetes Bacteroides 99deb3c5ecb022ec05609ebd1112a557	99deb3c5ecb022ec05609ebd1112a557	Bacteroidetes Bacteroides	Neg_Stool	0.335416693918182	0.0954901058866303	0.326566741882861	0.0590681300774302	IgM+	Bacteroidetes Bacteroides	IgM+.Neg_Stool
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	Pos_Stool	0.470217385484033	0.0873328897381753	0.573766596851897	0.0804706214839699	None	Bacteroidetes Bacteroides	None.Pos_Stool
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	Neg_Stool	0.485915400972699	0.110306501643	0.310384301103947	0.0806815376952074	None	Bacteroidetes Bacteroides	None.Neg_Stool
Bacteroidetes Bacteroides b15193fce14759d1c06728933e044af6	b15193fce14759d1c06728933e044af6	Bacteroidetes Bacteroides	Pos_Stool	0.386579355365128	0.0646306662259626	0.564288888127698	0.0605600466660523	IgM+	Bacteroidetes Bacteroides	IgM+.Pos_Stool
Bacteroidetes Bacteroides b15193fce14759d1c06728933e044af6	b15193fce14759d1c06728933e044af6	Bacteroidetes Bacteroides	Neg_Stool	0.263251183346883	0.0797232310978728	0.518312259905477	0.0777184566039041	IgM+	Bacteroidetes Bacteroides	IgM+.Neg_Stool
