Taxa	SNV	Name	SubjectID	Analysis4	IgA-IgM-IgG-	IgM+IgA-	Mprob	IgA+IgM-	IgM+IgA+	Aprob	A_and_M_prob
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F59.2	Neg_Stool	0.567692767808484	0.432307232191516	0.432307232191516	NA	NA	NA	0.432307232191516
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F63.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F03.2	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F33.1	Neg_Stool	0.98400593217994	0.0159940678200601	0.0159940678200601	NA	NA	NA	0.0159940678200601
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F36.1	Neg_Stool	0.911938603748649	0.0880613962513511	0.0880613962513511	NA	NA	NA	0.0880613962513511
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F46.1	Neg_Stool	0.781558891658814	0.218441108341186	0.218441108341186	NA	NA	NA	0.218441108341186
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F47.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F48.1	Neg_Stool	0.994209083389546	0.005790916610454	0.005790916610454	NA	NA	NA	0.005790916610454
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F49.1	Neg_Stool	0.946142948609737	0.053857051390263	0.053857051390263	NA	NA	NA	0.053857051390263
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F51.1	Neg_Stool	0.878163178905131	0.121836821094869	0.121836821094869	NA	NA	NA	0.121836821094869
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F52.1	Neg_Stool	0.172370072255913	0.827629927744087	0.827629927744087	NA	NA	NA	0.827629927744087
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F54.1	Neg_Stool	0.129560294660054	0.870439705339946	0.870439705339946	NA	NA	NA	0.870439705339946
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F59.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F59.2	Neg_Stool	0.580434711759337	0.419565288240663	0.419565288240663	NA	NA	NA	0.419565288240663
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F63.1	Neg_Stool	0.816455117026961	0.183544882973039	0.183544882973039	NA	NA	NA	0.183544882973039
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F03.2	Neg_Stool	0.977902454036692	0.0220975459633077	0.0220975459633077	NA	NA	NA	0.0220975459633077
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F33.1	Neg_Stool	0.201849836779108	0.798150163220892	0.798150163220892	NA	NA	NA	0.798150163220892
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F36.1	Neg_Stool	0.00761328656809178	0.992386713431908	0.992386713431908	NA	NA	NA	0.992386713431908
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F46.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F47.1	Neg_Stool	0.113005153977777	0.886994846022223	0.886994846022223	NA	NA	NA	0.886994846022223
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F48.1	Neg_Stool	0.0144114423092198	0.98558855769078	0.98558855769078	NA	NA	NA	0.98558855769078
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F49.1	Neg_Stool	0.96274464868867	0.0372553513113302	0.0372553513113302	NA	NA	NA	0.0372553513113302
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F51.1	Neg_Stool	0.0227694847630185	0.977230515236981	0.977230515236981	NA	NA	NA	0.977230515236981
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F52.1	Neg_Stool	0.500782310122856	0.499217689877144	0.499217689877144	NA	NA	NA	0.499217689877144
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F54.1	Neg_Stool	0.589277502678345	0.410722497321655	0.410722497321655	NA	NA	NA	0.410722497321655
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F59.1	Neg_Stool	0.948101618632706	0.0518983813672943	0.0518983813672943	NA	NA	NA	0.0518983813672943
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F59.2	Neg_Stool	0.376663674753818	0.623336325246182	0.623336325246182	NA	NA	NA	0.623336325246182
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F63.1	Neg_Stool	0.0192461529936683	0.980753847006332	0.980753847006332	NA	NA	NA	0.980753847006332
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F03.2	Neg_Stool	0.755108859300606	0.244891140699394	0.244891140699394	NA	NA	NA	0.244891140699394
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F33.1	Neg_Stool	0.0227316492481137	0.977268350751886	0.977268350751886	NA	NA	NA	0.977268350751886
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F36.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F46.1	Neg_Stool	0.0233699251439925	0.976630074856008	0.976630074856008	NA	NA	NA	0.976630074856008
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F47.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F48.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
