Feature ID	Taxon	Confidence
0262f90bea7e55704414b933c4b2da89	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	0.8903878433774084
0266b37dda69c8fd306c9e0ee679e583	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	0.9715558031333943
026b68ad384fbb3f5bb0f6769b1b4fce	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.7653905156168873
028f37795c71cac0cfe9d52645813472	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica	0.9999937989332176
02a0df6a927569b203e921e682bef71a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9350782606695611
02acf0f762c80e6ee22319400ea6db93	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia	0.7158897762486971
02b4317d07dfa2d4bcf0b885431ba6ce	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__producta	0.9365440923709458
02b4cbe5c2955ab2f66dc82cdf6dad64	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Aquabacterium; s__	0.955053563472865
02d107ed23daf8bfa19187972153169e	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	0.999898923967501
02d34df917fed3d81fa2cf69984e5aa4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.9216574501152199
02e4f9db8dec0853077a1c2ba99abed2	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__RF16; g__; s__	0.9996149465378972
031fd859bd5e486179565e4c44c58abc	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__	0.9432441927997348
033d6e234e7687f52197628c9951d572	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__; s__	0.7048963688896217
034061db75629f2f71b16186302a7e44	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.9834773450342753
035b00de8a448f5c914d256261ab4cf3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9855928953188187
036c5e90aeffcb9fead953103a379e21	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__rc4-4; s__	0.9999873508741439
036cdc85a57f655a1b737c646c69157a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.7288385508454867
0381878550818411011b051db17eba86	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.7704996919304458
03905b1ae5c8258fd3b0b2adb74c97d0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9961387132544463
039b55af3f78721e8ded7864c1006751	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__	0.70213014119286
03b10adc566e93d23372c71edcf48b34	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Clostridium; s__methylpentosum	0.9982210923777995
03c158e6ed853a96850767ccf0d0502b	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__	0.996402986583451
03c2672aca6c7dc9e92a3e1ed75976c0	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__	0.9992051740177721
